id,email,name,admin,password
1000001,tanaka1@example.com,田中一郎,FALSE,tanaka
1000002,tanaka2@example.com,田中二郎,FALSE,tanaka
1000003,tanaka3@example.com,田中三郎,FALSE,tanaka
1000004,tanaka4@example.com,田中四郎,FALSE,tanaka
1000005,tanaka5@example.com,田中五郎,FALSE,tanaka
1000006,tanaka6@example.com,田中六郎,FALSE,tanaka
1000007,tanaka7@example.com,田中七郎,FALSE,tanaka
1000008,tanaka8@example.com,田中八郎,FALSE,tanaka
1000009,tanaka9@example.com,田中九郎,FALSE,tanaka
1000010,tanaka10@example.com,田中十郎,FALSE,tanaka
1000011,suzuki1@example.com,鈴木一郎,FALSE,suzuki
1000012,suzuki2@example.com,鈴木二郎,FALSE,suzuki
1000013,suzuki3@example.com,鈴木三郎,FALSE,suzuki
1000014,suzuki4@example.com,鈴木四郎,FALSE,suzuki
1000015,suzuki5@example.com,鈴木五郎,FALSE,suzuki
1000016,suzuki6@example.com,鈴木六郎,FALSE,suzuki
1000017,suzuki7@example.com,鈴木七郎,FALSE,suzuki
1000018,suzuki8@example.com,鈴木八郎,FALSE,suzuki
1000019,suzuki9@example.com,鈴木九郎,FALSE,suzuki
1000020,suzuki10@example.com,鈴木十郎,FALSE,suzuki
1000021,tanaka_admin@example.com,田中管理者,TRUE,tanaka
